[2019-11-14_09-07-56] Start program
[2019-11-14_09-07-56] Connecting Pixhawk ...
[2019-11-14_09-07-57] Pixhawk connected
[2019-11-14_09-07-57] Connecting Nano ...
[2019-11-14_09-07-57] UDP connect OK
[2019-11-14_09-07-58] Nano connected
[2019-11-14_09-07-58] Start Pixhawk listener
[2019-11-14_09-07-58] Pixhawk::requestData OK
2019-11-14_09-07-58] Can't send Heartbeat
[2019-11-14_09-07-58] Get home position
[2019-11-14_09-07-58] Get home position
[2019-11-14_09-07-58] Get home position
[2019-11-14_09-07-58] Get home position
[2019-11-14_09-07-58] Get home position
[2019-11-14_09-07-59] Get home position
[2019-11-14_09-07-59] Get home position
[2019-11-14_09-07-59] Get home position
[2019-11-14_09-07-59] Get home position
[2019-11-14_09-07-59] Get home position
[2019-11-14_09-07-59] Get home position
[2019-11-14_09-07-59] Get home position
[2019-11-14_09-07-59] Get home position
[2019-11-14_09-07-59] Get home position
[2019-11-14_09-07-59] Get home position
[2019-11-14_09-08-00] Get home position
[2019-11-14_09-08-00] Get home position
[2019-11-14_09-08-00] Get home position
[2019-11-14_09-08-00] Get home position
[2019-11-14_09-08-00] Get home position
[2019-11-14_09-08-00] Get home position
[2019-11-14_09-08-00] Get home position
[2019-11-14_09-08-00] Get home position
[2019-11-14_09-08-00] Get home position
[2019-11-14_09-08-00] Get home position
[2019-11-14_09-08-01] Get home position
[2019-11-14_09-08-01] Get home position
[2019-11-14_09-08-01] Get home position
[2019-11-14_09-08-01] Get home position
[2019-11-14_09-08-01] Get home position
[2019-11-14_09-08-01] Get home position
[2019-11-14_09-08-01] Get home position
[2019-11-14_09-08-01] Get home position
[2019-11-14_09-08-01] Get home position
[2019-11-14_09-08-01] Get home position
[2019-11-14_09-08-02] Get home position
[2019-11-14_09-08-02] Get home position
[2019-11-14_09-08-02] Get home position
[2019-11-14_09-08-02] Get home position
[2019-11-14_09-08-02] Get home position
[2019-11-14_09-08-02] Get home position
[2019-11-14_09-08-02] Get home position
[2019-11-14_09-08-02] Get home position
[2019-11-14_09-08-02] Get home position
[2019-11-14_09-08-02] Get home position
[2019-11-14_09-08-03] Get home position
[2019-11-14_09-08-03] Get home position
[2019-11-14_09-08-03] Get home position
[2019-11-14_09-08-03] Get home position
[2019-11-14_09-08-03] Get home position
[2019-11-14_09-08-03] Get home position
[2019-11-14_09-08-03] Get home position
[2019-11-14_09-08-03] Get home position
[2019-11-14_09-08-03] Get home position
[2019-11-14_09-08-03] Get home position
[2019-11-14_09-08-04] Get home position
[2019-11-14_09-08-04] Get home position
[2019-11-14_09-08-04] Get home position
[2019-11-14_09-08-04] Get home position
[2019-11-14_09-08-04] Get home position
[2019-11-14_09-08-04] Get home position
[2019-11-14_09-08-04] Get home position
[2019-11-14_09-08-04] Get home position
[2019-11-14_09-08-04] Get home position
[2019-11-14_09-08-04] Get home position
[2019-11-14_09-08-05] Get home position
[2019-11-14_09-08-05] Get home position
[2019-11-14_09-08-05] Get home position
[2019-11-14_09-08-05] Get home position
[2019-11-14_09-08-05] Get home position
[2019-11-14_09-08-05] Get home position
[2019-11-14_09-08-05] Get home position
[2019-11-14_09-08-05] Get home position
[2019-11-14_09-08-05] Get home position
[2019-11-14_09-08-05] Get home position
[2019-11-14_09-08-06] Get home position
[2019-11-14_09-08-06] Get home position
[2019-11-14_09-08-06] Get home position
[2019-11-14_09-08-06] Get home position
[2019-11-14_09-08-06] Get home position
[2019-11-14_09-08-06] Get home position
[2019-11-14_09-08-06] Get home position
[2019-11-14_09-08-06] Get home position
[2019-11-14_09-08-06] Get home position
[2019-11-14_09-08-06] Get home position
[2019-11-14_09-08-07] Get home position
[2019-11-14_09-08-07] Get home position
[2019-11-14_09-08-07] Get home position
[2019-11-14_09-08-07] Get home position
[2019-11-14_09-08-07] Get home position
[2019-11-14_09-08-07] Get home position
[2019-11-14_09-08-07] Get home position
[2019-11-14_09-08-07] Get home position
[2019-11-14_09-08-07] Get home position
[2019-11-14_09-08-08] Get home position
[2019-11-14_09-08-08] Get home position
[2019-11-14_09-08-08] Get home position
[2019-11-14_09-08-08] Get home position
[2019-11-14_09-08-08] Get home position
[2019-11-14_09-08-08] Get home position
[2019-11-14_09-08-08] Get home position
[2019-11-14_09-08-08] Get home position
[2019-11-14_09-08-08] Get home position
[2019-11-14_09-08-08] Get home position
[2019-11-14_09-08-09] Get home position
[2019-11-14_09-08-09] Get home position
[2019-11-14_09-08-09] Get home position
[2019-11-14_09-08-09] Get home position
[2019-11-14_09-08-09] Get home position
[2019-11-14_09-08-09] Get home position
[2019-11-14_09-08-09] Get home position
[2019-11-14_09-08-09] Get home position
[2019-11-14_09-08-09] Get home position
[2019-11-14_09-08-09] Get home position
[2019-11-14_09-08-10] Get home position
[2019-11-14_09-08-10] Get home position
[2019-11-14_09-08-10] Get home position
[2019-11-14_09-08-10] Get home position
[2019-11-14_09-08-10] Get home position
[2019-11-14_09-08-10] Get home position
[2019-11-14_09-08-10] Get home position
[2019-11-14_09-08-10] Get home position
[2019-11-14_09-08-10] Get home position
[2019-11-14_09-08-10] Get home position
[2019-11-14_09-08-11] Get home position
[2019-11-14_09-08-11] Get home position
[2019-11-14_09-08-11] Get home position
[2019-11-14_09-08-11] Get home position
[2019-11-14_09-08-11] Get home position
[2019-11-14_09-08-11] Get home position
[2019-11-14_09-08-11] Get home position
[2019-11-14_09-08-11] Get home position
[2019-11-14_09-08-11] Get home position
[2019-11-14_09-08-11] Get home position
[2019-11-14_09-08-12] Get home position
[2019-11-14_09-08-12] Get home position
[2019-11-14_09-08-12] Get home position
[2019-11-14_09-08-12] Get home position
[2019-11-14_09-08-12] Get home position
[2019-11-14_09-08-12] Get home position
[2019-11-14_09-08-12] Get home position
[2019-11-14_09-08-12] Get home position
[2019-11-14_09-08-12] Get home position
[2019-11-14_09-08-12] Get home position
[2019-11-14_09-08-13] Get home position
[2019-11-14_09-08-13] Get home position
[2019-11-14_09-08-13] Get home position
[2019-11-14_09-08-13] Get home position
[2019-11-14_09-08-13] Get home position
[2019-11-14_09-08-13] Get home position
[2019-11-14_09-08-13] Get home position
[2019-11-14_09-08-13] Get home position
[2019-11-14_09-08-13] Get home position
